Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2015,Isabel Hamilton Benham,New York,Finance,Bryn Mawr College (Pa.),Pennsylvania,Colleges and universities,Bequest,15000000
2015,James F. and Anne Rothenberg,California,"Finance, Investments",California Institute of Technology (Pasadena),California,Colleges and universities,Pledge,15000000
2015,Oscar L. Tang,New York,"Finance, Investments",Metropolitan Museum of Art (New York),New York,Arts,Pledge,15000000
2015,Anonymous,,,U. of Southern California (Los Angeles),California,Colleges and universities,,15000000
2015,Felda and Dena Hardymon,Massachusetts,Finance,"Clark Art Institute (Williamstown, Mass.)",Massachusetts,Arts,Gift,15000000
2015,Barbara Walters,New York,Media and entertainment,"Sarah Lawrence College (Bronxville, N.Y.)",New York,Colleges and universities,Gift,15000000
2015,Edward Claugus,Nevada,"Finance, Investments",Ohio State U. (Columbus),Ohio,Colleges and universities,Bequest,14000000
2015,Paul J. and Jan Varello,Texas,Construction,Villanova U. College of Engineering (Pa.),Pennsylvania,Colleges and universities,Pledge,13500000
2015,Bobbie Nau and John L. Nau III,Texas,Food and beverage,U. of Virginia (Charlottesville),Virginia,Colleges and universities,,13000000
2015,Coralyn Wright Whitney,,Education,"Smithsonian Institution, National Museum of Natural History (Washington)",District of Columbia,Museums and libraries,,13000000
2015,Dick E. Morand,Michigan,Engineering,Planned Giving Roundtable of Southeast Michigan (Dryden),Michigan,Foundations,Bequest,13000000
2015,Helen Wallace,California,Health care,U. of California at Berkeley,California,Colleges and universities,Bequest,13000000
2015,Max Baumgardner,,Investments,U. of Louisville (Ky.),Kentucky,Colleges and universities,Gift,12600000
2015,Albert Lepage Foundation (Albert Lepage),,Food and beverage,Tulane U. Freeman School of Business (New Orleans),Louisiana,Colleges and universities,,12500000
2015,Mary Griggs Burke,New York,Family wealth,Minneapolis Institute of Arts,Minnesota,Arts,Bequest,12500000
2015,Mary and Jackson Burke Foundation (Mary Griggs Burke),New York,Family wealth,Metropolitan Museum of Art (New York),New York,Arts,Bequest,12500000
2015,Anonymous,,,Seattle U.,Washington,Colleges and universities,Pledge,12000000
2015,Marion and Henry Bloch Family Foundation (Henry W. and Marion Bloch),Missouri,Finance,"Nelson-Atkins Museum of Art (Kansas City, Mo.)",Missouri,Arts,,11700000
2015,Stuart and Jan Bartleson,California,Construction,California Polytechnic State U. at San Luis Obispo,California,Colleges and universities,Noncash,11300000
2015,George and Liz Krupp,Massachusetts,Real estate,Combined Jewish Philanthropies (Boston),Massachusetts,Education,ChallengeGift,11250000
2015,Feigenbaum Foundation (Armand V. and Donald S. Feigenbaum),Massachusetts,Engineering,"Union College (Schenectady, N.Y.)",New York,Colleges and universities,Bequest,11000000
2015,Jerry and Gene Jones,Texas,Professional Sports,U. of Arkansas at Fayetteville,Arkansas,Colleges and universities,GiftNoncash,10650000
2015,Muneer Satter and Kristen Hertel,Illinois,Finance,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,,10500000
2015,Henry Bullock,California,Real estate,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Pledge,10500000
2015,Chad Richison,Oklahoma,Technology,U. of Central Oklahoma Foundation (Edmond),Oklahoma,Colleges and universities,,10000000
2015,Jacqueline Badger Mars,Virginia,"Family wealth, Food and beverage",John F. Kennedy Center for the Performing Arts (Washington),District of Columbia,Arts,,10000000
2015,Stephen A. and Christine Hearst Schwarzman,New York,Investments,John F. Kennedy Center for the Performing Arts (Washington),District of Columbia,Arts,,10000000
2015,John R. and Jeanette McWhirter,Pennsylvania,"Chemicals, Real estate",Pennsylvania State U. (University Park),Pennsylvania,,,10000000
2015,Sheldon B. and Marianne Lubar,Wisconsin,Investments,U. of Wisconsin at Milwaukee,Wisconsin,Colleges and universities,,10000000
2015,Diana Davis Spencer Foundation (Diana Davis Spencer),Maryland,,"The Masters School (Dobbs Ferry, N.Y.)",New York,Education,,10000000
2015,Anonymous,,,"Baylor U. (Waco, Tex.)",Texas,Colleges and universities,,10000000
2015,Daniel W. Dietrich II,Pennsylvania,Family wealth,"U. of Pennsylvania, Institute of Contemporary Art (Philadelphia)",Pennsylvania,Colleges and universities,,10000000
2015,"Jack, Joseph, and Morton Mandel Foundation (Morton and Joseph Mandel)",Ohio,Industry,Cuyahoga Community College Foundation (Cleveland),Ohio,Colleges and universities,,10000000
2015,Majerus Family Foundation (Majerus (Rick) family),,Education,Marquette U. (Milwaukee),Wisconsin,Colleges and universities,,10000000
2015,R. Milton and Denice Johnson,Tennessee,Health care,Belmont U. (Nashville),Tennessee,Colleges and universities,,10000000
2015,Anonymous,,,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Gift,10000000
2015,Richard (Dick) Levy,California,Health products,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Pledge,10000000
2015,Harold and Nancy Zirkin,District of Columbia,Finance,MedStar Health (Washington),District of Columbia,Health,,10000000
2015,Stan and Joan Ross,Ohio,Law,Ohio State U. (Columbus),Ohio,Colleges and universities,Pledge,10000000
2015,Jeffrey and Shari Aronson,New York,"Finance, Investments",Johns Hopkins U. (Baltimore),Maryland,Colleges and universities,Pledge,10000000
2015,Forrest E. Mars Jr.,Wyoming,Food and beverage,Colonial Williamsburg Foundation (Va.),Virginia,Historic preservation,,10000000
2015,Horning Family Fund (Joseph and Lynne Horning),District of Columbia,Real estate,Martha's Table (Washington),District of Columbia,Social services,Pledge,10000000
2015,Dennis J. and Constance Templeton Keller,Illinois,Education,Field Museum (Chicago),Illinois,Museums and libraries,,10000000
2015,Bill and Linda Gantz,Illinois,Pharmaceuticals,Field Museum (Chicago),Illinois,Museums and libraries,,10000000
2015,Lisa Yang,,"Finance, Investments","Cornell U. School of Industrial and Labor Relations (Ithaca, N.Y.)",New York,Colleges and universities,,10000000
2015,David M. Rubenstein,Maryland,Finance,"Thomas Jefferson Foundation (Charlottesville, Va.)",Virginia,Historic preservation,,10000000
2015,Lindner family,Ohio,"Finance, Food and beverage, Investments",Cincinnati Symphony and Pops Orchestra,Ohio,Arts,,10000000
2015,Anonymous,,,Princeton U. (N.J.),New Jersey,Colleges and universities,,10000000
2015,Jeanne and Rex Sinquefield,Missouri,Finance,U. of Missouri at Columbia,Missouri,Colleges and universities,,10000000
2015,Steve G. Stevanovich,,Finance,U. of Chicago,Illinois,Colleges and universities,,10000000
2015,Emmet Stephenson and Toni Stephenson and Tessa Stephenson Brand,Nevada,"Investments, Technology","U. of Southern California, Keck School of Medicine (Los Angeles)",California,Colleges and universities,Pledge,10000000
2015,Leonard Lauder,New York,"Industry, Manufacturing",Hunter College (New York),New York,Colleges and universities,,10000000
2015,Jordan Zimmerman,Florida,Advertising,U. of South Florida (Tampa),Florida,Colleges and universities,Gift,10000000
2015,Ronald and JoAnne Willens,California,Technology,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Gift,10000000
2015,Steve E. Tisch,California,"Media and entertainment, Professional Sports",Tel Aviv U. (Israel),,Colleges and universities,Gift,10000000
2015,Harold and Sarah Gottlieb,Michigan,Hotels,"Temple Israel (West Bloomfield, Mich.)",Michigan,Religious groups,Gift,10000000
2015,James Berbee and Karen Walsh,Wisconsin,Health care,U. of Wisconsin Hospital (Madison),Wisconsin,Health,GiftChallenge,10000000
2015,Louis A. Simpson,Florida,Insurance,Princeton U. (N.J.),New Jersey,Colleges and universities,Gift,10000000
2015,Kenneth C. Griffin,Illinois,Finance,Museum of Contemporary Art Chicago,Illinois,Arts,Gift,10000000
2015,Lynn Pippenger,Florida,Finance,U. of South Florida (Tampa),Florida,Colleges and universities,Gift,10000000
2015,Anonymous,,,Haverford College (Pa.),Pennsylvania,Colleges and universities,Gift,10000000
2015,Jim and Carol Collins,California,Food and beverage,U. of California at Los Angeles,California,Colleges and universities,Gift,10000000
2015,Oscar and Lynn Wyatt,Texas,Oil,"Museum of Fine Arts, Houston",Texas,Arts,Gift,10000000
2015,Lyda Hill,Texas,"Family wealth, Investments",Parkland Foundation (Dallas),Texas,Health,PledgeChallenge,10000000
2015,Elon Musk,California,"Retail, Technology, Transportation","Future of Life Institute (Cambridge, Mass.)",Massachusetts,Science,Gift,10000000
2015,Anonymous,,,Missouri Western State U. Foundation (St. Joseph),Missouri,Colleges and universities,Gift,10000000
2015,Laura and Isaac Perlmutter,New York,Entertainment,New York U. Langone Medical Center,New York,Colleges and universities,Gift,9000000
2015,Paulson Family Foundation (John A. and Jenny Paulson),New York,Finance,Success Academy Charter Schools (New York),New York,Education,,8500000
2015,G. Eugene and Patricia Boyce,North Carolina,Law,"Campbell U. Law School (Buies Creek, N.C.)",North Carolina,Colleges and universities,Noncash,8000000
2015,Foster and Coco Stanback,California,"Finance, Investments",California Institute of Technology (Pasadena),California,Colleges and universities,,7800000
2015,Dixie and Anne Leavitt Foundation (Dixie and Anne Leavitt),Utah,Insurance,Southern Utah U. (Cedar City),Utah,Colleges and universities,,7500000
2015,Helen Nicholson Palmer,Pennsylvania,Technology,Lutheran Theological Seminary (Philadelphia),Pennsylvania,Religious groups,Bequest,7250000
2015,Helen Nicholson Palmer,Pennsylvania,Technology,"Diakon Lutheran Social Ministries (Allentown, Pa.)",Pennsylvania,Religious groups,Bequest,7250000
2015,Gilbert and Jacki Cisneros Foundation (Gilbert and Jacki Cisneros),,Lottery,George Washington U. (Washington),District of Columbia,Colleges and universities,Gift,7000000
2015,Michael J. and Vikki Price,New York,Finance,U. of Pennsylvania (Philadelphia),Pennsylvania,Colleges and universities,Gift,7000000
2015,James E. Ericksen,Minnesota,Finance,MacPhail Center for Music (Minneapolis),Minnesota,Arts,Bequest,6700000
2015,Alan and Sherrie Conover,Florida,Family wealth,Houston Methodist Hospital,Texas,Health,Gift,6500000
2015,Harry Cornell,Missouri,Manufacturing,U. of Missouri at Columbia,Missouri,Colleges and universities,,6000000
2015,Morgan Family Foundation (Lee and Vicki Morgan),Ohio,Manufacturing,"Antioch College (Yellow Springs, Ohio)",Ohio,Colleges and universities,,6000000
2015,Timothy M. and Jayne N. Donahue,Florida,Telecommunications,"John Carroll U. (University Heights, Ohio)",Ohio,Colleges and universities,,6000000
2015,Robert E. and Allison Price,California,Retail,U. of California at San Diego,California,Colleges and universities,Gift,6000000
2015,Richard N. Weeks,New Jersey,Engineering,"Rutgers U. (New Brunswick, N.J.)",New Jersey,Colleges and universities,GiftChallenge,6000000
2015,Theodore R. Peterson,California,Manufacturing,"DePauw U. (Greencastle, Ind.)",Indiana,Colleges and universities,,6000000
2015,Robert Eddy,,Telecommunications,U. of Minnesota (Minneapolis),Minnesota,Colleges and universities,Gift,6000000
2015,"Jack, Joseph, and Morton Mandel Foundation (Morton Mandel)",Ohio,Industry,"American Academy of Arts and Sciences (Cambridge, Mass.)",Massachusetts,Other groups,,5600000
2015,Nicholas and Eleanor Chabraja,Florida,"Industry, Manufacturing","Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Gift,5600000
2015,David M. Rubenstein,Maryland,Finance,National Park Foundation (Washington),District of Columbia,Other groups,,5370000
2015,Bedford Falls Foundation (William E. Conway Jr. and Joanne Barkett Conway),Virginia,Finance,U. of Maryland School of Nursing (Baltimore),Maryland,Colleges and universities,,5240000
2015,Margaret S. Odiorne,Delaware,Chemicals,"Southwestern U. (Georgetown, Tex.)",Texas,Colleges and universities,Gift,5100000
2015,Anonymous,,,Richmond CenterStage (Va.),Virginia,Arts,,5000000
2015,Debbie and Robert Cervenka,Minnesota,Manufacturing,"Ecumen Foundation (Shoreview, Minn.)",Minnesota,Health,,5000000
2015,R. David and Suzanne A. Hoover,Colorado,"Industry, Technology","DePauw U. (Greencastle, Ind.)",Indiana,Colleges and universities,,5000000
2015,James G. (Jim) Stewart,Connecticut,Health care,"DePauw U. (Greencastle, Ind.)",Indiana,Colleges and universities,,5000000
2015,William Knapp,Iowa,Real estate,UnityPoint Health (Des Moines),Iowa,Health,Pledge,5000000
2015,Anonymous,,,"Cape Cod Healthcare Foundation (Hyannis, Mass.)",Massachusetts,Health,,5000000
2015,Robert and Pamela Jacobs,District of Columbia,Law,U. of Massachusetts at Amherst Foundation,Massachusetts,Colleges and universities,Pledge,5000000
2015,Mary Livingston Griggs and Mary Griggs Burke Foundation (Mary Griggs Burke),New York,Family wealth,"Sarah Lawrence College (Bronxville, N.Y.)",New York,Colleges and universities,Bequest,5000000
2015,Joshua and Marjorie Harris,New York,Finance,Icahn School of Medicine at Mount Sinai (New York),New York,Colleges and universities,,5000000
2015,Gus Machado,Florida,Retail,"St. Thomas U. (Miami Gardens, Fla.)",Florida,Colleges and universities,,5000000
2015,Richard Gilder,New York,Finance,Northfield Mount Hermon School (Mass.),Massachusetts,Education,PledgeMatching,5000000
2015,Anonymous,,,"Riverview Medical Center Foundation (Neptune, N.J.)",New Jersey,Health,,5000000
2015,Robert and Joan Rechnitz,New Jersey,Entertainment,"Riverview Medical Center Foundation (Neptune, N.J.)",New Jersey,Health,,5000000
2015,Mark Cuban,Texas,"Entertainment, Investments, Technology",Indiana U. Foundation (Bloomington),Indiana,Colleges and universities,,5000000
2015,Charles Chrin,Pennsylvania,"Industry, Real estate","Lehigh Valley Hospital and Health Network (Allentown, Pa.)",Pennsylvania,Health,,5000000
2015,Keith Mardak and Mary Vandenberg,Wisconsin,Entertainment,Boys & Girls Clubs of Greater Milwaukee,Wisconsin,Children and youths,,5000000
2015,Donald and Pamela Washkewicz,Ohio,"Technology, Engineering",Cleveland State U.,Ohio,Colleges and universities,,5000000
2015,David M. Rubenstein,Maryland,Finance,Lincoln Center for the Performing Arts (New York),New York,Arts,Pledge,5000000
2015,Dalrymple Family Foundation (Martha Dowd Dalrymple),Mississippi,"Construction, Family wealth",U. of Mississippi (Oxford),Mississippi,Colleges and universities,,5000000
2015,Dan and Violet McKinney,California,Food and beverage,San Diego Zoo,California,Zoos and aquariums,,5000000
2015,Oscar L. Tang and Agnes Hsu-Tang,New York,"Finance, Investments",Columbia U. (New York),New York,Colleges and universities,,5000000
2015,Gary and Patricia Coffman,Kentucky,Chemicals,"Michigan State U., College of Engineering (East Lansing)",Michigan,Colleges and universities,Pledge,5000000
2015,Michael Leven,Georgia,Hotels,Kennesaw State U. (Ga.),Georgia,Colleges and universities,,5000000
2015,Bill and Dorothy Cohen,Kansas,Finance,Wichita State U. Foundation (Kan.),Kansas,Colleges and universities,,5000000
2015,Gordon Foundation (Bernard M. and Sophia Gordon),Massachusetts,Technology,"Museum of Science, Boston",Massachusetts,Museums and libraries,,5000000
2015,Nancy A. Nasher and David J. Haemisegger,Texas,"Family wealth, Real estate",Dallas Symphony Orchestra,Texas,Arts,,5000000
2015,John and Jana Scarpa,New Jersey,Telecommunications,Villanova U. School of Law (Pa.),Pennsylvania,Colleges and universities,,5000000
2015,Helen Frankenthaler Foundation (Helen Frankenthaler),Connecticut,Investments,Bennington College (Vt.),Vermont,Colleges and universities,Bequest,5000000
2015,Alan Leve,California,Technology,U. of California at Los Angeles,California,Colleges and universities,Gift,5000000
2015,Ben C. Sutton Jr.,North Carolina,Marketing,"Ronald Reagan Presidential Foundation (Simi Valley, Calif.)",California,Foundations,Gift,5000000
2015,Doug Brush,New York,Manufacturing,College of Wooster (Ohio),Ohio,Colleges and universities,Gift,5000000
2015,Rodney and Carolyn Paseka,North Dakota,Manufacturing,Minnesota State U. at Moorhead,Minnesota,Colleges and universities,Gift,5000000
2015,Phil and Jocelyn Hagerman,Michigan,Retail,"Ferris State U. (Grand Rapids, Mich.)",Michigan,Colleges and universities,Gift,5000000
2015,Robert A. and Penny Fox,Pennsylvania,Finance,U. of Pennsylvania (Philadelphia),Pennsylvania,Colleges and universities,Gift,5000000
2015,Karen Robinson and Kevin Keyes,New Jersey,Finance,U. of Notre Dame (Ind.),Indiana,Colleges and universities,Gift,5000000
2015,Joan Payden,California,"Finance, Investments",U. of Southern California (Los Angeles),California,Colleges and universities,Gift,5000000
2015,Mark and Zygi Wilf,New Jersey,Real estate,U. of Minnesota Masonic Children's Hospital (Minneapolis),Minnesota,Health,Gift,5000000
2015,Mary Barton Akeley Smith,California,Technology,Maine Winter Sports Center (Caribou),Maine,Sports and recreation,MatchingGift,5000000
2015,David and Constance Girard-DiCarlo,Pennsylvania,Law,Villanova U. School of Law (Pa.),Pennsylvania,Colleges and universities,Gift,5000000
2015,Michael and Billie Kubly,Wisconsin,Health care,Marquette U. College of Health Sciences (Milwaukee),Wisconsin,Colleges and universities,Gift,5000000
2015,George and Dorothea Mink,Michigan,Engineering,"Lawrence Technological U. (Southfield, Mich.)",Michigan,Colleges and universities,Bequest,5000000
2015,Judith Hollinger,California,Law,"U. of Southern California, Gould School of Law (Los Angeles)",California,Colleges and universities,Gift,5000000
2015,Michael E. and Carole Marks,California,Finance,Juilliard School (New York),New York,Colleges and universities,Gift,5000000
2015,Thomas Kosasa,Hawaii,Family wealth,U. of Hawaii Foundation (Manoa),Hawaii,Colleges and universities,Gift,5000000
2015,Preston Haskell,Florida,Construction,Museum of Contemporary Art Jacksonville (Fla.),Florida,Arts,Gift,5000000
2015,Arthur F. and Patricia Ryan,Florida,Finance,Providence College (R.I.),Rhode Island,Colleges and universities,Gift,5000000
2015,John and Alison Ferring,Missouri,Manufacturing,Center of Creative Arts (St. Louis),Missouri,Arts,UnrestrictedPledge,5000000
2015,Robert P. and Christine Stiller,Vermont,Food and beverage,"Norton Museum of Art (West Palm Beach, Fla.)",Florida,Arts,Gift,5000000
2015,William N. Vaughan,Florida,Finance,Lawrenceville School (N.J.),New Jersey,Education,BequestUnrestricted,5000000
2015,Ronald Read,Vermont,Investments,"Brattleboro Memorial Hospital (Vt.)",Vermont,Health,BequestUnrestricted,4800000
2015,John and Annette Schnatter,Kentucky,Food and beverage,U. of Louisville (Ky.),Kentucky,Colleges and universities,Gift,4640000
2015,Lawrence Blatt,California,Pharmaceuticals,Indiana U. at Bloomington,,Colleges and universities,,4600000
2015,John C. Beyer,Virginia,Consulting,"U. of the Pacific (Stockton, Calif.)",California,Colleges and universities,Gift,4600000
2015,Parker Foundation (Sean N. Parker),California,Technology,U. of California at San Francisco,California,Colleges and universities,,4500000
2015,Frank Stern,Florida,"Investments, Real estate",Southwest Florida Community Foundation (Fort Myers),Florida,,Bequest,4000000
